X,Y,Z,objectid,shape_leng,dis_elec,cir_sena,cod_comuna,codregion,st_area_sh,st_length_,Region,Comuna,Provincia
-71.9530805341613,-35.1298908387965,0,"279",191493.54538500,"17","9","7103","7",1602501393.42000007629,234347.69305599999,Región del Maule,Curepto,Talca
-72.284259934947,-35.6136098554935,0,"280",142724.34943000,"17","9","7104","7",857528510.00399982929,175634.26600999999,Región del Maule,Empedrado,Talca
-71.81630099427,-35.3276645800968,0,"283",176274.41059600,"17","9","7107","7",1437081080.57999992371,216188.83074400001,Región del Maule,Pencahue,Talca
-71.3319952420102,-35.9585158970074,0,"271",288033.75989100,"18","9","7401","7",2245998504.51999998093,356106.04217600002,Región del Maule,Linares,Linares
-71.4411424583538,-36.1108708202662,0,"272",267604.71213700,"18","9","7403","7",2231920365.23999977112,331498.94104499999,Región del Maule,Longaví,Linares
-71.6022240221257,-35.4279230939787,0,"287",87180.82859480,"17","9","7101","7",349742246.88400000334,107100.57277400000,Región del Maule,Talca,Talca
-72.485250169131,-35.6989891016699,0,"259",139098.13564000,"18","9","7202","7",800728957.09500002861,172379.28077499999,Región del Maule,Chanco,Cauquenes
-72.6076510161357,-35.9116001706732,0,"260",132698.15457900,"18","9","7203","7",563065542.12399995327,171405.51701099999,Región del Maule,Pelluhue,Cauquenes
-72.2762103491755,-35.3633330224752,0,"278",230138.71252500,"17","9","7102","7",2020521645.21999979019,288046.37725899997,Región del Maule,Constitución,Talca
-72.060379084272,-34.9742424218593,0,"263",113254.94534600,"17","9","7303","7",408295082.17299997807,138985.41376100000,Región del Maule,Licantén,Curicó
-72.022617246669,-34.8414816617924,0,"269",119601.43568500,"17","9","7309","7",671615266.35599994659,157643.23008300000,Región del Maule,Vichuquén,Curicó
-72.2807198283879,-35.9715564365906,0,"258",309855.98987600,"18","9","7201","7",3249865238.53999948502,383455.68894199998,Región del Maule,Cauquenes,Cauquenes
-71.2696515874561,-35.2603784849437,0,"284",145736.96367900,"17","9","7108","7",654345161.15900003910,178102.13244600000,Región del Maule,Río Claro,Talca
-71.3500258034718,-35.3830794211496,0,"282",117034.76198700,"17","9","7106","7",497538211.84899997711,143374.59461100001,Región del Maule,Pelarco,Talca
-71.9272022485425,-35.6291771041431,0,"275",218476.07827700,"18","9","7406","7",1993974110.56999993324,272061.04115599999,Región del Maule,San Javier,Linares
-71.6835489436101,-35.6858326822553,0,"276",72730.46825710,"18","9","7407","7",285865753.68900001049,89631.78928190000,Región del Maule,Villa Alegre,Linares
-71.5441618016318,-35.6898247464578,0,"277",87657.19426190,"18","9","7408","7",391151549.59500002861,108431.33821800000,Región del Maule,Yerbas Buenas,Linares
-71.711041165631,-35.5089953485982,0,"281",82747.66507450,"17","9","7105","7",362343399.76200002432,102930.82785200000,Región del Maule,Maule,Talca
-71.5009337721384,-35.302452562602,0,"286",98722.39941480,"17","9","7110","7",394248379.28100001812,119157.55714800001,Región del Maule,San Rafael,Talca
-71.4959677235657,-35.1039056323007,0,"267",133701.49710700,"17","9","7307","7",823864321.26099991798,163146.86158400000,Región del Maule,Sagrada Familia,Curicó
-71.8295046201027,-36.0023453039807,0,"274",199520.56208700,"18","9","7405","7",1264038781.32999992371,246638.20713000000,Región del Maule,Retiro,Linares
-70.8953246586646,-35.1992738670884,0,"261",325441.15288500,"17","9","7301","7",1999249037.17000031471,402410.67006099998,Región del Maule,Curicó,Curicó
-70.9097294829289,-35.3529873312145,0,"264",347734.24266600,"17","9","7304","7",2287058762.26999998093,427455.72812200000,Región del Maule,Molina,Curicó
-70.9782158137045,-36.0782107063271,0,"270",435841.14119300,"18","9","7402","7",4491299601.97000026703,539510.53764999995,Región del Maule,Colbún,Linares
-70.848009429154,-35.7125023846663,0,"285",448817.23738800,"17","9","7109","7",6843255658.93000030518,559549.71232599998,Región del Maule,San Clemente,Talca
-71.7087884726561,-34.9527459986544,0,"262",180423.19872000,"17","9","7302","7",939882079.11099994183,219064.57315300000,Región del Maule,Hualañé,Curicó
-71.4262501620761,-34.9382741355303,0,"265",137991.42009700,"17","9","7305","7",457955014.94300001860,169189.12138500001,Región del Maule,Rauco,Curicó
-71.0218287163684,-34.8881465325984,0,"268",170374.71026700,"17","9","7308","7",924096362.91400003433,207372.01931999999,Región del Maule,Teno,Curicó
-70.7114535877072,-35.0683235912198,0,"266",258704.15332400,"17","9","7306","7",2398472696.98999977112,321639.10524900001,Región del Maule,Romeral,Curicó
-71.6453827619059,-36.2622330723482,0,"273",353001.42363400,"18","9","7404","7",2521923287.17999982834,435750.54602700000,Región del Maule,Parral,Linares
